,lat,long
0,6.6768,15.0528
1,6.33774,14.8441
2,6.11604,14.6615
3,5.77698,14.7007
4,5.5292,14.8441
5,5.30751,14.7528
6,5.19014,14.5833
7,4.87716,14.3746
8,4.5381,14.6224
9,4.21208,14.6746
10,3.91214,14.7007
11,3.70348,14.492
12,3.69044,14.2834
13,3.78173,14.0225
14,4.0295,13.84
15,4.06863,13.6183
16,3.83389,13.4748
17,3.79477,13.1749
18,3.59916,13.0053
19,3.59916,12.7576
20,3.65132,12.4576
21,3.57307,12.2229
22,3.49483,12.0142
23,3.31226,11.8578
24,2.84279,11.8708
25,2.76454,12.0925
26,2.63413,12.588
27,2.55589,12.9141
28,2.45156,13.1227
29,2.55589,13.4227
30,2.33419,13.8139
31,2.04729,14.2703
32,1.57782,14.479
33,1.35613,14.5311
34,1.30396,14.7789
35,1.44741,15.2353
36,1.74735,15.4179
37,1.6039,15.8222
38,1.52566,15.9787
39,1.66911,16.1612
40,1.91688,16.2525
41,2.1777,16.2264
42,2.58197,16.2786
43,3.20793,16.5264
44,3.59916,16.3568
45,3.46875,16.6177
46,4.0295,16.5916
47,4.40769,16.396
48,4.79891,16.2264
49,5.05973,16.0047
50,5.34663,16.0047
51,5.62049,15.9135
52,5.85522,15.7178
53,6.02476,15.4962
54,6.15516,15.2614
55,6.36382,15.2614
56,6.61159,15.2353
0,0.522497,25.2834
1,0.262068,25.1135
2,-0.0662987,25.0116
3,-0.59848,24.8305
4,-0.949493,24.955
5,-1.43638,25.3626
6,-1.84401,25.4872
7,-1.20992,25.1928
8,-0.304082,24.8644
9,-2.10444,25.4079
10,-2.29693,25.4079
11,-2.54604,25.4872
12,-2.69323,25.3853
13,-3.05557,25.3853
14,-3.20277,25.1475
15,-3.23674,25.3853
16,-3.56511,25.2494
17,-3.84818,25.0909
18,-4.08596,25.1475
19,-4.05199,25.3513
20,-3.95009,25.4532
21,-3.72363,25.5325
22,-3.316,25.6797
23,-3.18012,25.8495
24,-2.93102,25.8835
25,-3.11219,26.1439
26,-3.30468,26.0986
27,-3.4632,26.2345
28,-3.36129,26.6874
29,-3.50849,26.8233
30,-3.74627,26.9479
31,-4.01802,27.1856
32,-4.1539,27.4347
33,-4.06332,27.6952
34,-3.96141,27.831
35,-3.84818,28.0802
36,-3.88215,28.3406
37,-3.76892,28.4651
38,-3.80289,28.6463
39,-3.83686,28.8388
40,-3.64437,29.02
41,-3.49717,28.986
42,-3.33865,28.9633
43,-3.03292,28.8728
44,-2.84043,28.8048
45,-2.55736,28.8161
46,-2.50074,28.6463
47,-2.29693,28.7256
48,-2.04782,28.8388
49,-1.7421,28.9181
50,-1.50432,29.0086
51,-1.40241,29.1898
52,-1.14198,29.0879
53,-0.960816,29.0426
54,-0.858909,29.1785
55,-0.609803,29.1785
56,-0.383343,29.1898
57,-0.304082,29.0539
58,-0.473927,28.9407
59,-0.575834,28.6689
60,-0.541865,28.3406
61,-0.609803,28.0009
62,-0.541865,27.8424
63,-0.417312,27.5366
64,-0.236144,27.3215
65,-0.0662987,27.1177
66,0.126192,27.0045
67,0.00163928,26.6987
68,0.228099,26.5063
69,0.148838,26.1666
70,0.228099,25.9741
71,0.284714,25.7476
72,0.465882,25.6344
73,0.522497,25.4645
0,5.91147,15.7252
1,5.10865,16.021
2,4.09456,16.6548
3,3.67202,16.359
4,2.4044,16.19
5,1.47482,16.021
6,1.68609,15.3449
7,1.26355,14.5843
8,-0.173082,13.9083
9,-0.680128,14.5843
10,-2.58155,14.2463
11,-3.17311,14.6266
12,-4.1872,15.3026
13,-5.75059,15.5984
14,-6.84919,15.6407
15,-7.73652,15.5562
16,-8.75062,16.359
17,-9.46893,17.1196
18,-10.1027,17.6689
19,-10.8211,18.4717
20,-11.5394,19.021
21,-10.9478,19.3168
22,-10.4408,19.6548
23,-9.51118,19.6548
24,-8.96188,19.5703
25,-8.07455,19.6548
26,-7.06046,19.4435
27,-6.25764,19.4435
28,-5.62383,19.4435
29,-5.03228,19.0632
30,-4.27171,18.8097
31,-3.80691,18.3027
32,-3.46888,17.5421
33,-3.17311,17.8379
34,-3.46888,18.5562
35,-3.80691,19.359
36,-3.93368,20.2463
37,-3.89142,21.5562
38,-3.80691,22.4013
39,-3.80691,23.1619
40,-4.01818,23.7534
41,-4.31396,24.3872
42,-5.11678,24.852
43,-5.66608,24.5985
44,-6.21538,24.4717
45,-6.59567,24.9365
46,-7.18722,24.9788
47,-7.73652,24.852
48,-8.28582,24.7252
49,-8.79287,24.7252
50,-8.41258,25.0633
51,-7.60976,25.4013
52,-7.18722,26.0351
53,-6.80694,25.8661
54,-6.13088,26.1619
55,-5.53932,25.9084
56,-4.86326,25.3591
57,-3.89142,25.1478
58,-3.34212,25.4013
59,-2.79282,25.4436
60,-1.99,25.4436
61,-1.31394,25.3591
62,-0.891398,24.9365
63,0.0381873,25.0633
64,0.418472,25.7393
65,0.0804412,26.7112
66,-0.426605,27.5563
67,-0.595621,28.6126
68,-0.215336,29.2887
69,0.841011,29.5844
70,1.26355,30.2183
71,1.68609,30.683
72,2.27764,30.7676
73,2.53116,30.2605
74,2.44666,29.6267
75,2.61567,28.7394
76,2.65793,27.514
77,2.44666,26.7957
78,2.91145,25.8661
79,3.08047,24.8943
80,3.62977,24.0069
81,3.58751,22.9083
82,3.9678,21.6407
83,4.13681,20.3731
84,4.43259,19.4858
85,4.13681,18.852
86,4.85513,18.2182
87,5.74246,17.2463
88,5.78471,16.4012
0,-1.45171,29.1237
1,-2.46638,28.7179
2,-3.59702,29.0658
3,-3.85793,28.283
4,-4.08986,27.3843
5,-3.79995,26.9784
6,-3.42307,26.8045
7,-3.51004,26.2247
8,-3.13317,26.1087
9,-3.0172,25.8768
10,-3.3361,25.7608
11,-3.68399,25.5579
12,-4.17683,25.152
13,-4.8726,25.3839
14,-5.39443,25.8188
15,-6.1192,26.2826
16,-6.81497,25.9058
17,-7.39479,25.8188
18,-8.26451,25.0361
19,-8.84432,24.6882
20,-9.27918,24.3113
21,-9.56908,24.1953
22,-10.4678,23.9924
23,-10.9896,24.2243
24,-11.4535,24.3983
25,-11.7724,25.5289
26,-11.9753,26.3116
27,-11.9753,26.9784
28,-12.0333,27.5582
29,-12.4102,28.254
30,-12.874,28.6019
31,-13.3379,29.0658
32,-13.4248,29.7615
33,-13.019,30.5733
34,-12.2652,31.24
35,-11.4825,31.7909
36,-10.8447,32.0808
37,-10.1489,32.6606
38,-9.65606,33.0375
39,-9.16321,32.2837
40,-9.13422,31.443
41,-8.46744,31.6749
42,-7.91662,31.414
43,-7.59772,31.0081
44,-6.728,30.8632
45,-6.17718,30.5443
46,-6.49608,31.5879
47,-6.75699,31.8778
48,-6.67002,33.0954
49,-6.67002,33.9362
50,-5.88727,33.7622
51,-5.74232,33.1244
52,-5.07554,33.2694
53,-4.37976,33.2404
54,-4.14784,32.7186
55,-3.68399,32.4866
56,-3.13317,32.2837
57,-3.04619,31.6749
58,-2.75629,31.327
59,-3.22014,30.6892
60,-3.91591,29.9645
61,-3.16216,29.5586
62,-2.43739,29.2977
0,-3.11605,14.7179
1,-3.38054,14.6628
2,-3.61197,14.6407
3,-3.81034,14.5746
4,-3.97565,14.6187
5,-4.24014,14.6958
6,-4.29524,14.4864
7,-4.42748,14.1448
8,-4.44952,13.7922
9,-4.93442,13.4064
10,-5.27606,13.3844
11,-5.55157,13.5938
12,-5.67279,13.8583
13,-5.90422,14.0126
14,-5.98136,14.1558
15,-6.26789,14.222
16,-6.33402,14.4424
17,-6.26789,14.795
18,-6.53238,15.0375
19,-6.92912,15.2469
20,-7.29279,15.1036
21,-7.68953,15.346
22,-7.61239,15.4562
23,-7.31483,15.4562
24,-7.07238,15.5995
25,-6.76381,15.6326
26,-6.46626,15.5334
27,-6.25687,15.4011
28,-6.09157,15.0595
29,-5.97034,15.5003
30,-5.56259,15.4893
31,-5.24299,15.335
32,-5.00055,15.302
33,-4.65891,15.1477
34,-4.42748,15.2689
35,-4.28422,15.346
36,-4.15197,15.2248
37,-3.96463,15.1036
38,-3.83238,15.1918
39,-3.58993,15.1256
40,-3.46871,14.9052
41,-3.2483,14.8722
0,-3.28772,17.3778
1,-3.08965,17.774
2,-3.28772,18.3022
3,-3.79389,19.4245
4,-3.81589,20.0187
5,-4.03597,20.3488
6,-3.90392,20.899
7,-3.90392,21.4492
8,-3.85991,22.0214
9,-3.77188,22.7697
10,-3.92593,23.4519
11,-4.07998,24.1781
12,-4.65218,24.6183
13,-5.15835,24.8604
14,-5.44445,24.5743
15,-6.12668,24.4642
16,-6.63285,24.9704
17,-7.16103,24.9704
18,-7.46913,24.7723
19,-7.75523,24.9044
20,-8.32742,24.7063
21,-8.67954,24.5523
22,-8.96563,24.7503
23,-9.27374,24.2662
24,-9.42779,24.4862
25,-9.58184,24.2001
26,-10.022,24.0901
27,-10.4181,23.9361
28,-10.8583,24.1121
29,-11.0123,23.87
30,-10.9903,23.4739
31,-11.0563,22.6376
32,-11.2984,22.2635
33,-11.1224,21.7573
34,-11.3424,21.4492
35,-11.4745,21.0531
36,-11.3644,20.4809
37,-11.5185,20.0187
38,-11.7386,19.5346
39,-12.0247,19.1604
40,-12.2007,18.6983
41,-11.8266,18.9844
42,-11.6285,19.1384
43,-11.2104,19.2485
44,-10.8803,19.5126
45,-10.6382,19.6666
46,-10.2641,19.5786
47,-9.7359,19.6666
48,-9.03166,19.5126
49,-8.17337,19.6006
50,-7.42511,19.4245
51,-6.61084,19.4025
52,-6.03865,19.5566
53,-5.40043,19.3365
54,-4.93827,19.0724
55,-4.27805,18.8083
56,-3.79389,18.4122
57,-3.57381,17.972
58,-3.41976,17.6639
0,9.24153,23.4865
1,8.69623,24.2875
2,8.16797,24.8328
3,7.77604,25.2758
4,7.48635,25.2076
5,6.80473,26.1278
6,6.63432,26.4175
7,6.17423,26.5538
8,5.74821,27.2014
9,4.81098,27.6956
10,4.40201,28.1216
11,4.50425,28.8032
12,4.36793,29.3144
13,4.62354,29.6041
14,4.0612,30.1494
15,3.80559,30.5413
16,3.4307,30.8992
17,2.39123,30.7288
18,2.20378,30.4732
19,2.56163,30.3028
20,2.62979,29.7745
21,2.39123,29.6041
22,2.30602,29.2803
23,2.68091,28.7691
24,2.8002,27.9512
25,2.66387,27.3377
26,2.66387,26.7924
27,2.37419,26.639
28,2.39123,26.3664
29,2.90244,25.8722
30,3.00469,25.4292
31,3.27733,25.0372
32,3.20917,24.7646
33,3.63519,23.8103
34,3.54998,22.9242
35,3.82263,22.3107
36,3.99304,21.5269
37,4.07824,21.0497
38,4.1464,20.3511
39,4.47017,20.317
40,4.47017,19.8228
41,4.23161,19.2775
42,4.12936,19.1242
43,4.26569,18.6982
44,4.91323,18.1358
45,5.50965,17.6587
46,5.7823,17.2667
47,6.07198,17.8461
48,5.59485,18.5448
49,5.98678,18.647
50,6.31055,18.9026
51,6.70249,19.9762
52,7.11146,20.8793
53,7.77604,21.169
54,8.27022,21.6121
55,8.03165,21.2031
56,8.54286,22.0381
57,8.66215,22.6856
58,8.74735,23.1628
59,8.95184,23.2309
60,6.0379,17.4372
61,2.83428,30.8821
